Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
23841; 10; 0; 10; 0; ; ; ; ; 
23667; 10; 0; 10; 0; ; ; ; ; 
24722; 10; 0; 10; 0; ; ; ; ; 
24424; 10; 0; 10; 0; ; ; ; ; 
24170; 10; 0; 10; 0; ; ; ; ; 
24257; 10; 0; 10; 0; ; ; ; ; 
24501; 10; 0; 10; 0; ; ; ; ; 
24195; 10; 0; 10; 0; ; ; ; ; 
24201; 10; 0; 10; 0; ; ; ; ; 
24472; 10; 0; 10; 0; ; ; ; ; 
24129; 10; 0; 10; 0; ; ; ; ; 
24655; 10; 0; 10; 0; ; ; ; ; 
24404; 10; 0; 10; 0; ; ; ; ; 
24657; 10; 0; 10; 0; ; ; ; ; 
24419; 10; 0; 10; 0; ; ; ; ; 
24473; 10; 0; 10; 0; ; ; ; ; 
24091; 10; 0; 10; 0; ; ; ; ; 
24108; 10; 0; 10; 0; ; ; ; ; 
24470; 10; 0; 10; 0; ; ; ; ; 
22109; 10; 0; 10; 0; ; ; ; ; 
24241; 10; 0; 10; 0; ; ; ; ; 
24676; 10; 0; 10; 0; ; ; ; ; 
24621; 10; 0; 10; 0; ; ; ; ; 
24592; 10; 0; 10; 0; ; ; ; ; 
24695; 10; 0; 10; 0; ; ; ; ; 
23792; 10; 0; 10; 0; ; ; ; ; 
24062; 10; 0; 10; 0; ; ; ; ; 
23064; 10; 0; 10; 0; ; ; ; ; 
24641; 10; 0; 10; 0; ; ; ; ; 
18125; 10; 0; 10; 0; ; ; ; ; 
20105; 10; 0; 10; 0; ; ; ; ; 
15633; 10; 0; 10; 0; ; ; ; ; 
14137; 10; 0; 10; 0; ; ; ; ; 
12232; 10; 0; 10; 0; ; ; ; ; 
21242; 10; 0; 10; 0; ; ; ; ; 
19248; 10; 0; 10; 0; ; ; ; ; 
15150; 10; 0; 10; 0; ; ; ; ; 
13140; 10; 0; 10; 0; ; ; ; ; 
11558; 10; 0; 10; 0; ; ; ; ; 
10658; 10; 0; 10; 0; ; ; ; ; 
17421; 10; 0; 10; 0; ; ; ; ; 
16634; 10; 0; 10; 0; ; ; ; ; 
9173; 10; 0; 10; 0; ; ; ; ; 
7239; 10; 0; 10; 0; ; ; ; ; 
6186; 10; 0; 10; 0; ; ; ; ; 
9663; 10; 0; 10; 0; ; ; ; ; 
8189; 10; 0; 10; 0; ; ; ; ; 
4610; 10; 0; 10; 0; ; ; ; ; 
4201; 10; 0; 10; 0; ; ; ; ; 
5732; 10; 0; 10; 0; ; ; ; ; 
