Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
49644; 10; 0; 10; 0; ; ; ; ; 
49938; 10; 0; 10; 0; ; ; ; ; 
36258; 10; 0; 10; 0; ; ; ; ; 
47957; 10; 0; 10; 0; ; ; ; ; 
47870; 10; 0; 10; 0; ; ; ; ; 
48415; 10; 0; 10; 0; ; ; ; ; 
50087; 10; 0; 10; 0; ; ; ; ; 
49848; 10; 0; 10; 0; ; ; ; ; 
49907; 10; 0; 10; 0; ; ; ; ; 
49873; 10; 0; 10; 0; ; ; ; ; 
49562; 10; 0; 10; 0; ; ; ; ; 
50017; 10; 0; 10; 0; ; ; ; ; 
49314; 10; 0; 10; 0; ; ; ; ; 
50096; 10; 0; 10; 0; ; ; ; ; 
50085; 10; 0; 10; 0; ; ; ; ; 
50071; 10; 0; 10; 0; ; ; ; ; 
49827; 10; 0; 10; 0; ; ; ; ; 
50161; 10; 0; 10; 0; ; ; ; ; 
49753; 10; 0; 10; 0; ; ; ; ; 
49435; 10; 0; 10; 0; ; ; ; ; 
32671; 10; 0; 10; 0; ; ; ; ; 
50016; 10; 0; 10; 0; ; ; ; ; 
49931; 10; 0; 10; 0; ; ; ; ; 
49934; 10; 0; 10; 0; ; ; ; ; 
49866; 10; 0; 10; 0; ; ; ; ; 
49829; 10; 0; 10; 0; ; ; ; ; 
49848; 10; 0; 10; 0; ; ; ; ; 
49927; 10; 0; 10; 0; ; ; ; ; 
50134; 10; 0; 10; 0; ; ; ; ; 
49842; 10; 0; 10; 0; ; ; ; ; 
49378; 10; 0; 10; 0; ; ; ; ; 
41092; 10; 0; 10; 0; ; ; ; ; 
49359; 10; 0; 10; 0; ; ; ; ; 
50074; 10; 0; 10; 0; ; ; ; ; 
48756; 10; 0; 10; 0; ; ; ; ; 
50041; 10; 0; 10; 0; ; ; ; ; 
48351; 10; 0; 10; 0; ; ; ; ; 
47811; 10; 0; 10; 0; ; ; ; ; 
46947; 10; 0; 10; 0; ; ; ; ; 
49850; 10; 0; 10; 0; ; ; ; ; 
45640; 10; 0; 10; 0; ; ; ; ; 
44631; 10; 0; 10; 0; ; ; ; ; 
43725; 10; 0; 10; 0; ; ; ; ; 
42750; 10; 0; 10; 0; ; ; ; ; 
42315; 10; 0; 10; 0; ; ; ; ; 
50148; 10; 0; 10; 0; ; ; ; ; 
49998; 10; 0; 10; 0; ; ; ; ; 
49964; 10; 0; 10; 0; ; ; ; ; 
49988; 10; 0; 10; 0; ; ; ; ; 
50084; 10; 0; 10; 0; ; ; ; ; 
49562; 10; 0; 10; 0; ; ; ; ; 
49879; 10; 0; 10; 0; ; ; ; ; 
49867; 10; 0; 10; 0; ; ; ; ; 
50113; 10; 0; 10; 0; ; ; ; ; 
49936; 10; 0; 10; 0; ; ; ; ; 
49574; 10; 0; 10; 0; ; ; ; ; 
49487; 10; 0; 10; 0; ; ; ; ; 
33861; 10; 0; 10; 0; ; ; ; ; 
49928; 10; 0; 10; 0; ; ; ; ; 
49473; 10; 0; 10; 0; ; ; ; ; 
50154; 10; 0; 10; 0; ; ; ; ; 
49380; 10; 0; 10; 0; ; ; ; ; 
50172; 10; 0; 10; 0; ; ; ; ; 
50133; 10; 0; 10; 0; ; ; ; ; 
45858; 10; 0; 10; 0; ; ; ; ; 
40743; 10; 0; 10; 0; ; ; ; ; 
38903; 10; 0; 10; 0; ; ; ; ; 
38538; 10; 0; 10; 0; ; ; ; ; 
38317; 10; 0; 10; 0; ; ; ; ; 
35235; 10; 0; 10; 0; ; ; ; ; 
37279; 10; 0; 10; 0; ; ; ; ; 
29702; 10; 0; 10; 0; ; ; ; ; 
32204; 10; 0; 10; 0; ; ; ; ; 
30158; 10; 0; 10; 0; ; ; ; ; 
28701; 10; 0; 10; 0; ; ; ; ; 
31203; 10; 0; 10; 0; ; ; ; ; 
23751; 10; 0; 10; 0; ; ; ; ; 
27200; 10; 0; 10; 0; ; ; ; ; 
28214; 10; 0; 10; 0; ; ; ; ; 
22727; 10; 0; 10; 0; ; ; ; ; 
25369; 10; 0; 10; 0; ; ; ; ; 
26327; 10; 0; 10; 0; ; ; ; ; 
24173; 10; 0; 10; 0; ; ; ; ; 
18063; 10; 0; 10; 0; ; ; ; ; 
15723; 10; 0; 10; 0; ; ; ; ; 
19298; 10; 0; 10; 0; ; ; ; ; 
20872; 10; 0; 10; 0; ; ; ; ; 
17302; 10; 0; 10; 0; ; ; ; ; 
19840; 10; 0; 10; 0; ; ; ; ; 
21548; 10; 0; 10; 0; ; ; ; ; 
15329; 10; 0; 10; 0; ; ; ; ; 
14828; 10; 0; 10; 0; ; ; ; ; 
13378; 10; 0; 10; 0; ; ; ; ; 
10864; 10; 0; 10; 0; ; ; ; ; 
11873; 10; 0; 10; 0; ; ; ; ; 
12445; 10; 0; 10; 0; ; ; ; ; 
9692; 10; 0; 10; 0; ; ; ; ; 
6871; 10; 0; 10; 0; ; ; ; ; 
7488; 10; 0; 10; 0; ; ; ; ; 
8880; 10; 0; 10; 0; ; ; ; ; 
