Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
1139; 4; 6; 4; 6; ; ; ; ; 
1026; 1; 9; 1; 9; ; ; ; ; 
1236; 4; 6; 4; 6; ; ; ; ; 
1155; 4; 6; 4; 6; ; ; ; ; 
1267; 5; 5; 5; 5; ; ; ; ; 
1366; 7; 3; 7; 3; ; ; ; ; 
1450; 7; 3; 7; 3; ; ; ; ; 
1147; 3; 7; 3; 7; ; ; ; ; 
1370; 5; 5; 5; 5; ; ; ; ; 
1381; 3; 7; 3; 7; ; ; ; ; 
1348; 5; 5; 5; 5; ; ; ; ; 
1286; 5; 5; 5; 5; ; ; ; ; 
1298; 5; 5; 5; 5; ; ; ; ; 
1244; 3; 7; 3; 7; ; ; ; ; 
1138; 5; 5; 5; 5; ; ; ; ; 
1389; 5; 5; 5; 5; ; ; ; ; 
1407; 7; 3; 7; 3; ; ; ; ; 
1427; 6; 4; 6; 4; ; ; ; ; 
1289; 5; 5; 5; 5; ; ; ; ; 
1326; 3; 7; 3; 7; ; ; ; ; 
1279; 5; 5; 5; 5; ; ; ; ; 
1235; 5; 5; 5; 5; ; ; ; ; 
1249; 5; 5; 5; 5; ; ; ; ; 
1369; 6; 4; 6; 4; ; ; ; ; 
1394; 8; 2; 8; 2; ; ; ; ; 
