Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:15s:723ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:15s:960ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:15s:737ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:16s:454ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:119ms; 8; 2; 8; 2; ; ; ; ; 
00h:00m:16s:490ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:16s:376ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:16s:002ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:03s:130ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:05s:020ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:16s:416ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:15s:684ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:07s:165ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:07s:644ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:16s:195ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:15s:981ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:15s:815ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:15s:998ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:15s:991ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:203ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:15s:874ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:15s:863ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:15s:998ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:16s:294ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:338ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:016ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:16s:378ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:16s:121ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:16s:055ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:16s:160ms; 2; 8; 2; 8; ; ; ; ; 
00h:00m:16s:209ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:16s:263ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:15s:703ms; 2; 8; 2; 8; ; ; ; ; 
00h:00m:16s:001ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:364ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:16s:307ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:025ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:16s:263ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:16s:391ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:15s:679ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:14s:535ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:13s:234ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:12s:485ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:11s:619ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:16s:218ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:04s:063ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:08s:451ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:09s:222ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:10s:191ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:06s:125ms; 7; 3; 7; 3; ; ; ; ; 
