Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:00s:929ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:01s:113ms; 9; 1; 9; 1; ; ; ; ; 
00h:00m:00s:282ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:01s:115ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:01s:187ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:148ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:080ms; 7; 3; 7; 3; ; ; ; ; 
00h:00m:01s:079ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:209ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:01s:076ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:212ms; 8; 2; 8; 2; ; ; ; ; 
00h:00m:01s:138ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:148ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:01s:158ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:01s:129ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:00s:978ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:00s:922ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:176ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:01s:015ms; 4; 6; 4; 6; ; ; ; ; 
00h:00m:00s:958ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:01s:148ms; 6; 4; 6; 4; ; ; ; ; 
00h:00m:01s:175ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:160ms; 5; 5; 5; 5; ; ; ; ; 
00h:00m:01s:146ms; 3; 7; 3; 7; ; ; ; ; 
00h:00m:01s:106ms; 3; 7; 3; 7; ; ; ; ; 
