Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:02s:358ms; 0; 1; 0; 2; 1; 00h:00m:01s:000ms; ; ; 
00h:00m:02s:358ms; 0; 1; 0; 2; 1; 00h:00m:01s:000ms; ; ; 
00h:00m:02s:358ms; 0; 1; 0; 2; 1; 00h:00m:01s:000ms; ; ; 
00h:00m:02s:358ms; 0; 1; 0; 2; 1; 00h:00m:01s:000ms; ; ; 
00h:00m:02s:467ms; 0; 1; 0; 2; 1; 00h:00m:01s:000ms; ; ; 
