Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
29570; 10; 0; 10; 0; 29561; 2956; 0; 0; ; ; ; 
31125; 10; 0; 10; 0; 31100; 3110; 0; 0; ; ; ; 
31489; 10; 0; 10; 0; 31475; 3147; 0; 0; ; ; ; 
31131; 10; 0; 10; 0; 31038; 3103; 0; 0; ; ; ; 
31481; 10; 0; 10; 0; 31452; 3145; 0; 0; ; ; ; 
31671; 10; 0; 10; 0; 31657; 3165; 0; 0; ; ; ; 
31948; 10; 0; 10; 0; 31935; 3193; 0; 0; ; ; ; 
31193; 10; 0; 10; 0; 31174; 3117; 0; 0; ; ; ; 
30954; 10; 0; 10; 0; 30917; 3091; 0; 0; ; ; ; 
31908; 10; 0; 10; 0; 31896; 3189; 0; 0; ; ; ; 
31257; 10; 0; 10; 0; 31241; 3124; 0; 0; ; ; ; 
31465; 10; 0; 10; 0; 31439; 3143; 0; 0; ; ; ; 
32074; 10; 0; 10; 1; 5429; 542; 1; 1000; ; ; ; 
31130; 10; 0; 10; 0; 31121; 3112; 0; 0; ; ; ; 
32084; 10; 0; 10; 1; 5464; 546; 1; 1000; ; ; ; 
30662; 10; 0; 10; 0; 30649; 3064; 0; 0; ; ; ; 
32016; 10; 0; 10; 0; 31993; 3199; 0; 0; ; ; ; 
31690; 10; 0; 10; 0; 31607; 3160; 0; 0; ; ; ; 
31222; 10; 0; 10; 0; 31209; 3120; 0; 0; ; ; ; 
31400; 10; 0; 10; 0; 31290; 3129; 0; 0; ; ; ; 
31729; 10; 0; 10; 0; 31660; 3166; 0; 0; ; ; ; 
31936; 10; 0; 10; 0; 31878; 3187; 0; 0; ; ; ; 
31771; 10; 0; 10; 0; 31749; 3174; 0; 0; ; ; ; 
31699; 10; 0; 10; 0; 31676; 3167; 0; 0; ; ; ; 
31670; 10; 0; 10; 0; 31653; 3165; 0; 0; ; ; ; 
31509; 10; 0; 10; 0; 31426; 3142; 0; 0; ; ; ; 
31630; 10; 0; 10; 0; 31593; 3159; 0; 0; ; ; ; 
31633; 10; 0; 10; 0; 31614; 3161; 0; 0; ; ; ; 
31811; 10; 0; 10; 0; 31727; 3172; 0; 0; ; ; ; 
31649; 10; 0; 10; 0; 31642; 3164; 0; 0; ; ; ; 
31084; 10; 0; 10; 0; 31075; 3107; 0; 0; ; ; ; 
31715; 10; 0; 10; 0; 31702; 3170; 0; 0; ; ; ; 
31499; 10; 0; 10; 0; 31443; 3144; 0; 0; ; ; ; 
31692; 10; 0; 10; 0; 31607; 3160; 0; 0; ; ; ; 
31277; 10; 0; 10; 0; 31229; 3122; 0; 0; ; ; ; 
31342; 10; 0; 10; 0; 31317; 3131; 0; 0; ; ; ; 
31577; 10; 0; 10; 0; 31523; 3152; 0; 0; ; ; ; 
31880; 10; 0; 10; 0; 31870; 3187; 0; 0; ; ; ; 
31649; 10; 0; 10; 0; 31611; 3161; 0; 0; ; ; ; 
31259; 10; 0; 10; 0; 31228; 3122; 0; 0; ; ; ; 
31479; 10; 0; 10; 0; 31461; 3146; 0; 0; ; ; ; 
31600; 10; 0; 10; 0; 31586; 3158; 0; 0; ; ; ; 
17603; 10; 0; 10; 0; 17587; 1758; 0; 0; ; ; ; 
31733; 10; 0; 10; 0; 31709; 3170; 0; 0; ; ; ; 
31575; 10; 0; 10; 0; 31543; 3154; 0; 0; ; ; ; 
31867; 10; 0; 10; 0; 31757; 3175; 0; 0; ; ; ; 
31786; 10; 0; 10; 0; 31742; 3174; 0; 0; ; ; ; 
31405; 10; 0; 10; 0; 31385; 3138; 0; 0; ; ; ; 
31067; 10; 0; 10; 0; 31044; 3104; 0; 0; ; ; ; 
31424; 10; 0; 10; 0; 31406; 3140; 0; 0; ; ; ; 
31476; 10; 0; 10; 0; 31443; 3144; 0; 0; ; ; ; 
31888; 10; 0; 10; 0; 31859; 3185; 0; 0; ; ; ; 
31497; 10; 0; 10; 0; 31475; 3147; 0; 0; ; ; ; 
31011; 10; 0; 10; 0; 30987; 3098; 0; 0; ; ; ; 
31716; 10; 0; 10; 0; 31677; 3167; 0; 0; ; ; ; 
30920; 10; 0; 10; 0; 30896; 3089; 0; 0; ; ; ; 
31781; 10; 0; 10; 0; 31757; 3175; 0; 0; ; ; ; 
31461; 10; 0; 10; 0; 31400; 3140; 0; 0; ; ; ; 
31456; 10; 0; 10; 0; 31433; 3143; 0; 0; ; ; ; 
31646; 10; 0; 10; 0; 31611; 3161; 0; 0; ; ; ; 
31203; 10; 0; 10; 0; 31168; 3116; 0; 0; ; ; ; 
30148; 10; 0; 10; 0; 30134; 3013; 0; 0; ; ; ; 
31450; 10; 0; 10; 0; 31362; 3136; 0; 0; ; ; ; 
31856; 10; 0; 10; 0; 31816; 3181; 0; 0; ; ; ; 
29564; 10; 0; 10; 0; 29523; 2952; 0; 0; ; ; ; 
31568; 10; 0; 10; 0; 31557; 3155; 0; 0; ; ; ; 
31061; 10; 0; 10; 0; 31049; 3104; 0; 0; ; ; ; 
31012; 10; 0; 10; 0; 31001; 3100; 0; 0; ; ; ; 
31238; 10; 0; 10; 0; 31192; 3119; 0; 0; ; ; ; 
13852; 10; 0; 10; 0; 13803; 1380; 0; 0; ; ; ; 
30566; 10; 0; 10; 0; 30553; 3055; 0; 0; ; ; ; 
31185; 10; 0; 10; 0; 31135; 3113; 0; 0; ; ; ; 
30850; 10; 0; 10; 0; 30832; 3083; 0; 0; ; ; ; 
31766; 10; 0; 10; 0; 31739; 3173; 0; 0; ; ; ; 
31339; 10; 0; 10; 0; 31256; 3125; 0; 0; ; ; ; 
30555; 10; 0; 10; 0; 30536; 3053; 0; 0; ; ; ; 
25412; 10; 0; 10; 0; 25367; 2536; 0; 0; ; ; ; 
30998; 10; 0; 10; 0; 30985; 3098; 0; 0; ; ; ; 
