Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
10904; 10; 0; 10; 0; 10831; 1083; 0; 0; ; ; ; 
14104; 10; 0; 10; 0; 14017; 1401; 0; 0; ; ; ; 
12808; 10; 0; 10; 0; 12772; 1277; 0; 0; ; ; ; 
16305; 10; 0; 10; 0; 16281; 1628; 0; 0; ; ; ; 
18645; 10; 0; 10; 0; 18583; 1858; 0; 0; ; ; ; 
5438; 10; 0; 10; 0; 5315; 531; 0; 0; ; ; ; 
9206; 10; 0; 10; 0; 9183; 918; 0; 0; ; ; ; 
17313; 10; 0; 10; 0; 17137; 1713; 0; 0; ; ; ; 
20372; 10; 0; 10; 0; 20304; 2030; 0; 0; ; ; ; 
14697; 10; 0; 10; 0; 14661; 1466; 0; 0; ; ; ; 
17967; 10; 0; 10; 0; 17900; 1790; 0; 0; ; ; ; 
10052; 10; 0; 10; 0; 9964; 996; 0; 0; ; ; ; 
4452; 10; 0; 10; 0; 4199; 419; 0; 0; ; ; ; 
22541; 10; 0; 10; 0; 22439; 2243; 0; 0; ; ; ; 
22276; 10; 0; 10; 0; 22142; 2214; 0; 0; ; ; ; 
22507; 10; 0; 10; 0; 22350; 2235; 0; 0; ; ; ; 
6367; 10; 0; 10; 0; 6305; 630; 0; 0; ; ; ; 
9295; 10; 0; 10; 0; 9216; 921; 0; 0; ; ; ; 
11765; 10; 0; 10; 0; 11723; 1172; 0; 0; ; ; ; 
7322; 10; 0; 10; 0; 7249; 724; 0; 0; ; ; ; 
8200; 10; 0; 10; 0; 8088; 808; 0; 0; ; ; ; 
20615; 10; 0; 10; 0; 20546; 2054; 0; 0; ; ; ; 
3443; 10; 0; 10; 0; 3343; 334; 0; 0; ; ; ; 
2332; 10; 0; 10; 0; 2283; 228; 0; 0; ; ; ; 
21650; 10; 0; 10; 0; 21564; 2156; 0; 0; ; ; ; 
