Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:56s:339ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:55s:358ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:59s:733ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:54s:324ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:53s:012ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:45s:407ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:46s:754ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:47s:395ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:46s:508ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:55s:300ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:44s:649ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:43s:341ms; 10; 0; 10; 0; ; ; ; ; 
