Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:00s:061ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:057ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:055ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:064ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:051ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:051ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:046ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:049ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:051ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:051ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:050ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:050ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:058ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:056ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:056ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:054ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:055ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:057ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:054ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:050ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:056ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:049ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:064ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:095ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:064ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:061ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:064ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:061ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:082ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:076ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:065ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:049ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:051ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:050ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:053ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:057ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:054ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:057ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:060ms; 10; 0; 10; 0; ; ; ; ; 
