Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:00s:997ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:997ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:052ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:008ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:980ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:112ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:032ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:992ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:993ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:030ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:969ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:980ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:955ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:009ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:00s:993ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:008ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:018ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:004ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:001ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:041ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:013ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:012ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:008ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:035ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:01s:014ms; 10; 0; 10; 0; ; ; ; ; 
