Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
55557; 10; 0; 10; 9; 57; 5; 9; 18000; ; ; ; 
61929; 10; 0; 10; 12; 39659; 3965; 12; 22000; ; ; ; 
42777; 10; 0; 10; 3; 39710; 3971; 3; 3000; ; ; ; 
48205; 10; 0; 10; 9; 32921; 3292; 9; 15000; ; ; ; 
33092; 10; 0; 10; 5; 1319; 131; 5; 5000; ; ; ; 
31185; 10; 0; 10; 6; 312; 31; 6; 8000; ; ; ; 
46892; 10; 0; 10; 6; 38681; 3868; 6; 8000; ; ; ; 
63665; 10; 0; 10; 11; 39479; 3947; 11; 24000; ; ; ; 
72460; 10; 1; 10; 8; 38506; 3850; 7; 33000; ; ; ; 
89096; 10; 0; 10; 16; 253; 25; 16; 51000; ; ; ; 
46055; 10; 0; 10; 7; 1304; 130; 7; 8000; ; ; ; 
81299; 10; 0; 10; 17; 36321; 3632; 17; 44000; ; ; ; 
49626; 10; 0; 10; 8; 244; 24; 8; 14000; ; ; ; 
80237; 10; 0; 10; 17; 56; 5; 17; 45000; ; ; ; 
60118; 10; 0; 10; 12; 33881; 3388; 12; 26000; ; ; ; 
42744; 10; 0; 10; 6; 115; 11; 6; 10000; ; ; ; 
42527; 10; 0; 10; 3; 39396; 3939; 3; 3000; ; ; ; 
89303; 10; 0; 10; 18; 61; 6; 18; 61000; ; ; ; 
64141; 10; 0; 10; 16; 203; 20; 16; 34000; ; ; ; 
53641; 10; 0; 10; 11; 28958; 2895; 11; 24000; ; ; ; 
52310; 10; 0; 10; 8; 28656; 2865; 8; 23000; ; ; ; 
46881; 10; 0; 10; 8; 25832; 2583; 8; 20000; ; ; ; 
67821; 10; 0; 10; 16; 112; 11; 16; 36000; ; ; ; 
35332; 10; 0; 10; 9; 17523; 1752; 9; 17000; ; ; ; 
44840; 10; 0; 10; 7; 22274; 2227; 7; 22000; ; ; ; 
35605; 10; 0; 10; 6; 219; 21; 6; 10000; ; ; ; 
70511; 10; 0; 10; 10; 98; 9; 10; 47000; ; ; ; 
31665; 10; 0; 10; 4; 25569; 2556; 4; 6000; ; ; ; 
38469; 10; 0; 10; 9; 19817; 1981; 9; 18000; ; ; ; 
35195; 10; 0; 10; 8; 307; 30; 8; 14000; ; ; ; 
54903; 10; 1; 10; 11; 16597; 1659; 10; 38000; ; ; ; 
35435; 10; 0; 10; 9; 1019; 101; 9; 14000; ; ; ; 
104854; 10; 2; 10; 20; 93; 9; 18; 96000; ; ; ; 
32991; 10; 0; 10; 10; 1126; 112; 10; 17000; ; ; ; 
51267; 10; 1; 10; 15; 240; 24; 14; 45000; ; ; ; 
41928; 10; 0; 10; 11; 3307; 330; 11; 38000; ; ; ; 
35470; 10; 0; 10; 11; 1117; 111; 11; 21000; ; ; ; 
47904; 10; 0; 10; 16; 858; 85; 16; 40000; ; ; ; 
64238; 10; 1; 10; 13; 14033; 1403; 12; 50000; ; ; ; 
64707; 10; 0; 10; 15; 1261; 126; 15; 47000; ; ; ; 
41367; 10; 0; 10; 14; 12468; 1246; 14; 28000; ; ; ; 
37957; 10; 0; 10; 12; 1061; 106; 12; 28000; ; ; ; 
16155; 10; 0; 10; 6; 4977; 497; 6; 11000; ; ; ; 
26390; 10; 0; 10; 11; 118; 11; 11; 14000; ; ; ; 
58819; 10; 0; 10; 15; 11101; 1110; 15; 47000; ; ; ; 
22127; 10; 0; 10; 7; 10852; 1085; 7; 11000; ; ; ; 
16825; 10; 0; 10; 9; 1729; 172; 9; 15000; ; ; ; 
103857; 10; 1; 10; 19; 18717; 1871; 18; 85000; ; ; ; 
101100; 10; 0; 10; 20; 5159; 515; 20; 95000; ; ; ; 
39425; 10; 1; 10; 10; 2699; 269; 9; 36000; ; ; ; 
