Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
33502; 10; 1; 10; 8; 358; 35; 7; 33000; ; ; ; 
17155; 10; 0; 10; 11; 62; 6; 11; 17000; ; ; ; 
38696; 10; 1; 10; 12; 419; 41; 11; 38000; ; ; ; 
59762; 10; 1; 10; 17; 340; 34; 16; 59000; ; ; ; 
71487; 10; 1; 10; 18; 235; 23; 17; 71000; ; ; ; 
33566; 10; 0; 10; 13; 279; 27; 13; 33000; ; ; ; 
123623; 10; 3; 10; 29; 70; 7; 26; 123000; ; ; ; 
26191; 10; 0; 10; 10; 65; 6; 10; 26000; ; ; ; 
78362; 10; 0; 10; 15; 153; 15; 15; 78000; ; ; ; 
11479; 10; 0; 10; 6; 367; 36; 6; 11000; ; ; ; 
18488; 10; 0; 10; 9; 216; 21; 9; 18000; ; ; ; 
49552; 10; 1; 10; 15; 324; 32; 14; 49000; ; ; ; 
29670; 10; 0; 10; 12; 332; 33; 12; 29000; ; ; ; 
52377; 10; 1; 10; 20; 57; 5; 19; 52000; ; ; ; 
14629; 10; 0; 10; 9; 357; 35; 9; 14000; ; ; ; 
13379; 10; 0; 10; 8; 186; 18; 8; 13000; ; ; ; 
14669; 10; 0; 10; 9; 438; 43; 9; 14000; ; ; ; 
12437; 10; 0; 10; 7; 185; 18; 7; 12000; ; ; ; 
13546; 10; 0; 10; 8; 186; 18; 8; 13000; ; ; ; 
9563; 10; 0; 10; 6; 383; 38; 6; 9000; ; ; ; 
15503; 10; 0; 10; 9; 252; 25; 9; 15000; ; ; ; 
12318; 10; 0; 10; 8; 129; 12; 8; 12000; ; ; ; 
9135; 10; 0; 10; 7; 83; 8; 7; 9000; ; ; ; 
13430; 10; 0; 10; 8; 257; 25; 8; 13000; ; ; ; 
19558; 10; 0; 10; 8; 391; 39; 8; 19000; ; ; ; 
